,name_brewery,name_location,social_twitterUrl,social_facebookUrl,social_instagramUrl,social_untappdId,lat,lng,street,city,state,country,tag_dogFriendly,tag_familyFriendly,tag_foodService,tag_foodTrucks,tag_growlerFills,tag_over21
0,South Park Brewing Company,South Park Brewing Company,https://twitter.com/SouthParkBrewCo,https://www.facebook.com/southparkbrewco,https://www.instagram.com/southparkbrewco/,189064,32.7216668,-117.1301127,1517 30th St,San Diego,California,US,True,True,True,False,True,False
1,Rouleur Brewing Company,Rouleur Brewing Company,https://twitter.com/rouleurbrewing,https://www.facebook.com/rouleurbrewing,https://www.instagram.com/rouleurbrewing/,332529,33.1344625,-117.2698102,"5840 El Camino Real, Suite 101",Carlsbad,California,US,True,True,False,True,True,False
2,Rouleur Brewing Company,Carlsbad Brewing Company,https://twitter.com/rouleurbrewing,https://www.facebook.com/rouleurbrewing,https://www.instagram.com/rouleurbrewing/,332529,33.1281963,-117.260355,6133 Innovation Way,Carlsbad ,California,US,False,False,False,False,False,False
3,Rouleur Brewing Company,Burger Bench,https://twitter.com/rouleurbrewing,https://www.facebook.com/rouleurbrewing,https://www.instagram.com/rouleurbrewing/,332529,33.1226102,-117.0792423,237 E. Grand Ave,Escondido,California,US,False,False,False,False,False,False
4,Rouleur Brewing Company,7 Mile Kitchen,https://twitter.com/rouleurbrewing,https://www.facebook.com/rouleurbrewing,https://www.instagram.com/rouleurbrewing/,332529,33.132775,-117.3107141,5420 Grand Pacific Dr,Carlsbad ,California,US,False,False,False,False,False,False
5,Thorn Brewing Co.,Thorn Brewing Co. - Barrio Logan,https://twitter.com/ThornStBrewery,https://www.facebook.com/thornstreetbrew,https://www.instagram.com/thornstreetbrewery,47013,32.702261,-117.1479369,1735 National Avenue,San Diego,California,US,True,True,False,True,True,False
6,Thorn Brewing Co.,Thorn Street Brewery,https://twitter.com/ThornStBrewery,https://www.facebook.com/thornstreetbrew,https://www.instagram.com/thornstreetbrewery,47013,32.7393987,-117.1254989,3176 Thorn Street,San Diego,California,US,True,True,False,True,True,False
7,Thorn Brewing Co.,Valley View Casino Center,https://twitter.com/ThornStBrewery,https://www.facebook.com/thornstreetbrew,https://www.instagram.com/thornstreetbrewery,47013,32.7551821,-117.2123081,3500 Sports Arena Boulevard,San Diego,California,US,False,False,False,False,False,False
8,Thorn Brewing Co.,Pechanga Arena San Diego,https://twitter.com/ThornStBrewery,https://www.facebook.com/thornstreetbrew,https://www.instagram.com/thornstreetbrewery,47013,32.755274,-117.212196,"3500 Sports Arena Blvd, 3500 Sports Arena Blvd",San Diego,California,US,False,False,False,False,False,False
9,Thorn Brewing Co.,Thorn Brewing Co. - Mission Hills  ,https://twitter.com/ThornStBrewery,https://www.facebook.com/thornstreetbrew,https://www.instagram.com/thornstreetbrewery,47013,32.7504106,-117.1725897,4026 Hawk St Suite A,San Diego,California,US,True,True,False,False,True,False
10,AleSmith Brewing Company,AleSmith Brewing Company,https://twitter.com/AleSmithBrewing,https://www.facebook.com/AleSmithBrewing,http://instagram.com/alesmithbrewing,2471,32.8882176,-117.149821,9990 AleSmith Court,San Diego,California,US,True,True,False,True,True,False
11,West Coast BBQ,West Coast BBQ and Brew,https://twitter.com/WCBBQnBrew,https://www.facebook.com/WestCoastBarbecueBrew,https://www.instagram.com/westcoastbbqnbrew/,,32.7911122,-117.0215149,6126 Lake Murray Blvd,La Mesa,California,US,False,False,False,False,False,False
12,Bolt Brewery,Bolt Brewery La Mesa,https://twitter.com/BoltBrewery,https://www.facebook.com/boltbrewery,https://www.instagram.com/boltbrewery/,73589,32.771909,-117.020449,8179 Center Street,La Mesa,California,US,True,True,False,True,True,False
